wp_x,wp_y
89618.046875,43153.56640625
89631.6328125,43147.46875
89622.3828125,43174.95703125
89632.8671875,43185.609375
89649.3203125,43174.41796875
89665.125,43168.67578125
89678.6484375,43150.125
89658.9140625,43127.37890625
