x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89669.82634826488,43133.24935924902,0.0,0.0,0.0,-0.8641775047575619,0.5031870827743832,1.5
89668.2388975564,43130.45242228646,0.0,0.0,0.0,-0.8606523087132272,0.5091930905919599,1.9926
89666.87822552054,43127.882263996544,0.0,0.0,0.0,-0.8661705805557147,0.49974846210846524,2.4852
89665.44196059382,43125.61447727014,0.0,0.0,0.0,-0.871764574554796,0.48992502135663135,2.9778000000000002
89663.70332410357,43122.66635452582,0.0,0.0,0.0,-0.9238795325118906,0.38268343236363206,3.4703999999999997
89660.83079425011,43121.00331092646,0.0,0.0,0.0,-0.9622001654298206,0.27234324233736,3.9629999999999996
89657.80707861489,43119.037895763584,0.0,0.0,0.0,-0.9654333504925743,0.26065004461285285,4.4556000000000004
89653.95184118,43116.99688770982,0.0,0.0,0.0,-0.9954353661845781,0.0954381042821737,4.9482
89650.61527763396,43117.64606331011,0.0,0.0,0.0,0.9914527152635427,0.1304665221294277,5.440799999999999
89647.04114078643,43118.84771276746,0.0,0.0,0.0,0.9852326650244027,0.17122089758237216,5.9334
89644.45593458207,43119.85356517503,0.0,0.0,0.0,0.9828388597749484,0.1844661912554144,6.425999999999999
89642.08375731178,43120.77653225382,0.0,0.0,0.0,0.9812502805494658,0.19273787101033002,6.918599999999999
89638.68207722215,43122.21279718054,0.0,0.0,0.0,0.9738941181550097,0.22700274584919874,7.4112
89636.71666205926,43123.42228343462,0.0,0.0,0.0,0.9640589984456094,0.2656882524991435,7.9037999999999995
89634.37328244197,43124.78295547046,0.0,0.0,0.0,0.9291223148671366,0.3697725300991591,8.3964
89631.38641474047,43128.46340793295,0.0,0.0,0.0,0.8966544461531596,0.4427310743484928,8.889
89630.16727612772,43130.275541696145,0.0,0.0,0.0,0.8831390367539264,0.46911133194727567,8.889
89628.60676095495,43132.577170259334,0.0,0.0,0.0,0.8838129895156167,0.4678403569204652,8.889
89626.7047661822,43135.368252382534,0.0,0.0,0.0,0.8846300750331892,0.4662935023638802,8.889
89624.89260884,43137.99910306001,0.0,0.0,0.0,0.885866977155882,0.4639393266200873,8.889
89623.18590656001,43140.44694816001,0.0,0.0,0.0,0.8861873455497018,0.46332708596365646,8.889
