s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
89.00605254608226,89627.78349282153,43158.71197429931,-1.0914311824581873,-0.03025498309928493,12.0649649,4.6176717
90.00429868335453,89628.2436652028,43157.82669404723,-1.1145650409516834,-0.02402352134414023,12.4414592,4.5744223
91.0028710134118,89628.6834605035,43156.930549279874,-1.1331782029188573,-0.019198767875993995,12.803516,4.531578
92.00166655503334,89629.10663873336,43156.02607878056,-1.1481946860908947,-0.015357329762917385,13.1523583,4.489135
93.00062214182854,89629.51627934306,43155.11515227154,-1.1601368728177677,-0.012120748597611343,13.4890411,4.4470895
93.99968307630225,89629.91507643889,43154.19925209098,-1.1692699777557056,-0.00921197249311885,13.8144823,4.4054379
94.99881491938976,89630.30553317849,43153.27965093542,-1.175699029426594,-0.006459518850765374,14.1294864,4.3641763
95.99799613135819,89630.69009701876,43152.35749308959,-1.1794559308514403,-0.003774233099331965,14.4347639,4.3233012
96.99717743946671,89631.0712125278,43151.43385135,-1.1805639017361993,-0.0011159675943406076,14.7309457,4.2828089
97.99627657187114,89631.45130447153,43150.50978782362,-1.1790407548658934,0.001542500499059428,15.0185953,4.2426959
98.99524432699675,89631.83277208265,43149.58638025486,-1.174858227893387,0.004233885084710111,15.2982188,4.2029586
99.99414448791805,89632.21804785418,43148.66469747014,-1.1679250395562661,0.00697621603086081,15.5702727,-0.5407448
100.99313803110076,89632.60967801389,43147.7457701882,-1.1581596761884818,0.009735427119676983,15.5355378,-10.1877626
101.99230797657536,89633.01030046528,43146.83062552709,-1.1456306688119051,0.012452147422987184,14.865963,-9.6988127
102.99141824503091,89633.4224297882,43145.92041126598,-1.1305546584958863,0.015210227519169747,14.1992162,-9.6179782
103.9898916479742,89633.84820872432,43145.01656745973,-1.1128453332828379,0.018480329983867665,13.5055597,-9.6152024
104.98716390687223,89634.28964495765,43144.1209764882,-1.0912858147077007,0.02317718572319283,12.7745094,-9.718472
105.98306600690123,89634.74973147502,43143.23617574515,-1.0630838327602208,0.03030719362135323,11.9904002,-8.4824875
106.97778017995859,89635.23391872292,43142.3658978,-1.0245868398952875,0.04036874840126113,11.2614792,-6.582372
107.97160756279234,89635.750624966,43141.51591489167,-0.9727607682359733,0.05297880041682322,10.661554,-5.2917895
108.96523985787648,89636.31016972016,43140.69457298056,-0.9061051460553269,0.06701146878760263,10.1535833,-4.8693173
109.960006403148,89636.92305810557,43139.91247774028,-0.8247403813397407,0.08119130688762527,9.6626039,-4.5466682
110.95646128712598,89637.59825355557,43139.18194944932,-0.7299972458556321,0.09497705081292485,9.1804823,-4.0350966
111.951747280086,89638.34078805834,43138.517445989586,-0.6226622760584309,0.10933626307365822,8.7303359,-3.9667956
112.93893910979934,89639.14928743336,43137.93699532987,-0.5003608015634998,0.12654501062687146,8.2639425,-4.1610638
113.91048865324778,89640.01545895002,43137.463397808344,-0.35730091926615964,0.1483699545476821,7.7445826,-4.0057358
114.86360617304572,89640.92564953405,43137.12360137501,-0.18836919255319662,0.17351407279893707,7.2093505,-1.2406707
115.80311440384736,89641.86190728335,43136.94512327154,0.004906170896498612,0.19679385312227174,7.0353224,-0.2298585
116.73915485687986,89642.80140420696,43136.949732640984,0.21223760004515815,0.2117600723141813,7.0026054,-0.2298585
117.68102223821889,89643.71644180003,43137.14690752014,0.41985619794386425,0.21507372830996466,6.9697349,1.8594693
118.63209959528355,89644.57650570836,43137.53084011529,0.6183635391033988,0.20862518718983047,7.2313618,1.6835554
119.58990721689867,89645.35147036667,43138.08218203959,0.8053112596942915,0.1974731659467644,7.4603278,0.6420706
120.55022257694272,89646.01512265904,43138.772805725006,0.9821980455207027,0.18593483199624355,7.5458205,1.5318376
121.51106066572082,89646.54828564794,43139.571518951394,1.1505453843893048,0.17544506278526262,7.7459769,2.2546061
122.47377239433169,89646.94029756945,43140.448751238895,1.3101795432118668,0.16518212666502066,8.0315046,1.3938486
123.44163691589527,89647.18836581252,43141.37895337778,1.4594997912155678,0.15388870216433945,8.2030545,0.533428
124.41772829410878,89647.29586353195,43142.340829654866,1.5966679942131652,0.1411936336222887,8.2677652,2.1480798
125.40315492143459,89647.27061323752,43143.31659438125,1.7209807696733703,0.1277583379372152,8.5233797,3.4222173
126.39613941353434,89647.12317321113,43144.29092855209,1.8332308596493985,0.11442309570333975,8.9154867,3.1705143
127.39321750821755,89646.86556076599,43145.24991449028,1.9341865269701517,0.10120900114952255,9.263956,2.0476421
128.3918608894744,89646.51115426251,43146.18188056112,2.02256303448099,0.08724077317168077,9.4822074,2.9692101
129.39141063541823,89646.07519082085,43147.08033728265,2.0953031200979115,0.07175415856184478,9.7900464,4.6359598
130.39169446619,89645.57463014168,43147.945518593755,2.1501931314537,0.05508214367061347,10.2522232,4.8073059
131.39191215117737,89645.02695545211,43148.782549164585,2.1875792912245196,0.03857512546019212,10.7104396,4.7622804
132.39126825536178,89644.44841565764,43149.598470192366,2.20963268172189,0.023752448950046204,11.1458058,4.7176766
133.38978158943075,89643.85253790556,43150.40074341737,2.2192973338716175,0.011669017978078003,11.5609401,4.6734906
134.38791099272447,89643.24944343821,43151.196548633336,2.220077452570308,0.0028009682528189477,11.9579846,4.6297185
135.38592530661361,89642.64596046181,43151.9915773139,2.2155655826893725,-0.002918565822084146,12.3387194,4.5863563
136.3839067274823,89642.04613985209,43152.78922874584,2.2085657899006756,-0.006063942048277255,12.704643,4.5434002
137.38192882766634,89641.45193687084,43153.59103279514,2.2006666842122407,-0.007507564034541633,13.0570319,4.5008465
138.380023459188,89640.86406193473,43154.3975383264,2.1924953255083968,-0.008071496176164499,13.3969842,4.4586913
139.37815147317323,89640.2827545542,43155.20887957569,2.1842047688645274,-0.008299738514519412,13.7254529,4.416931
140.37626498644545,89639.7081743278,43156.025039545144,2.175790828133147,-0.008456647498980058,14.043272,4.3755618
141.3743482655124,89639.14048972778,43156.845993125,2.167202536602837,-0.008638349006533885,14.3511763,4.33458
142.37240145094057,89638.57989354723,43157.671766795145,2.1583787688361653,-0.008867944466846332,14.6498173,4.2939821
143.37041905053323,89638.02662221319,43158.50242977848,2.1492720213907393,-0.009140842548429028,14.9397763,4.2537645
144.36840138233924,89637.48095781112,43159.33806695417,2.1398549645451856,-0.009443231421482477,15.2215743,4.2139235
