x,y,z,x_quat,y_quat,z_quat,w_quat,speed
3833.2038498857582,73770.76370015764,0.0,0.0,0.0,-0.4978919611092028,0.8672390645392031,5.0
3833.4344587639976,73770.3197013183,0.0,0.0,0.0,-0.5187870418258873,0.8549035063874432,5.0
3833.665861107399,73769.87611497988,0.0,0.0,0.0,-0.5184049680253204,0.8551352461024317,5.0
3833.897263450801,73769.43252864147,0.0,0.0,0.0,-0.5184049680280242,0.8551352461007927,5.0
3834.128665794203,73768.98894230304,0.0,0.0,0.0,-0.5184049680281964,0.8551352461006883,5.0
3834.3600681376042,73768.54535596463,0.0,0.0,0.0,-0.5184049680253204,0.8551352461024317,5.0
3834.591470481006,73768.10176962621,0.0,0.0,0.0,-0.5184049680251481,0.8551352461025362,5.0
3834.822872824408,73767.6581832878,0.0,0.0,0.0,-0.5184805530767856,0.8550894199329041,5.0
3835.05411830763,73767.21451517577,0.0,0.0,0.0,-0.518597245867239,0.8550186527666601,5.0
3835.285278464255,73766.7708025817,0.0,0.0,0.0,-0.5186383564571491,0.8549937164748214,5.0
3835.51643862088,73766.32708998761,0.0,0.0,0.0,-0.5186383564600215,0.8549937164730789,5.0
3835.747598777505,73765.88337739352,0.0,0.0,0.0,-0.5186383564569768,0.8549937164749258,5.0
3835.9787589341304,73765.43966479944,0.0,0.0,0.0,-0.5186383564571491,0.8549937164748214,5.0
3836.209919090755,73764.99595220535,0.0,0.0,0.0,-0.518631880470861,0.8549976447682524,5.0
3836.4410926885344,73764.55224661877,0.0,0.0,0.0,-0.518504788394542,0.8550747244609276,5.0
3836.6725166170017,73764.10867154114,0.0,0.0,0.0,-0.5183841620206528,0.855147858891166,5.0
3836.9039405454687,73763.6650964635,0.0,0.0,0.0,-0.5183841620206528,0.855147858891166,5.0
3837.135364473936,73763.22152138587,0.0,0.0,0.0,-0.5183841620176043,0.855147858893014,5.0
3837.3667884024035,73762.77794630826,0.0,0.0,0.0,-0.5183921700603555,0.8551430044268125,5.0
3837.598195713761,73762.33436256499,0.0,0.0,0.0,-0.518471494688366,0.8550949123902046,5.0
3837.829455034336,73761.89070164626,0.0,0.0,0.0,-0.5185428077094653,0.8550516689491837,5.0
3838.0607143549114,73761.44704072754,0.0,0.0,0.0,-0.5185428077123391,0.855051668947441,5.0
3838.2919736754866,73761.0033798088,0.0,0.0,0.0,-0.5185428077123391,0.855051668947441,5.0
3838.523232996062,73760.55971889007,0.0,0.0,0.0,-0.5185428077094653,0.8550516689491837,5.0
3838.754492316637,73760.11605797135,0.0,0.0,0.0,-0.5185428077096376,0.8550516689490792,5.0
3838.9857516372117,73759.67239705262,0.0,0.0,0.0,-0.5186685517215163,0.8549753993274337,5.0
3839.216749887906,73759.2286002432,0.0,0.0,0.0,-0.5185546850415707,0.855044465873815,5.0
3839.448245460293,73758.78506268562,0.0,0.0,0.0,-0.5182549460588408,0.8552261752808715,5.0
3839.679865754989,73758.34159011235,0.0,0.0,0.0,-0.5181948447676465,0.8552625929246729,5.0
3839.9114860496848,73757.89811753908,0.0,0.0,0.0,-0.5181948447676465,0.8552625929246729,5.0
